BioWare Version 5.3.2.9 Export
Device:	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA
Samples (#):	26204	26204	26204	26204	26204	26204	26204	26204
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0
Contact period end (sample #):	23851	23851	23851	23851	24593	24593	24593	24593
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	23.851000	23.851000	23.851000	23.851000	24.593000	24.593000	24.593000	24.593000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Jan 01, 1980  03:02:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	|Ft|	Fx	Fy	Fz	|Ft|
	N	N	N	N	N	N	N	N
0.112000	-57.762486	-10.887912	409.150909	413.351567	-57.223604	-5.999260	500.833908	504.128094
0.113000	-57.762486	-11.348865	407.452553	411.682990	-56.304092	-6.615622	498.797150	502.008480
0.114000	-57.764000	-11.809972	407.970901	412.209184	-55.843565	-6.461493	501.855713	504.994467
0.115000	-58.072065	-12.655103	406.610489	410.931389	-57.224220	-6.152766	502.880150	506.162931
0.116000	-58.148705	-13.193294	405.763924	410.121563	-56.610493	-6.461493	500.841110	504.071737
0.117000	-58.148705	-13.654866	405.767059	410.139773	-56.917202	-6.306895	501.522301	504.781104
0.118000	-58.764332	-13.884876	405.425507	409.897399	-56.764002	-6.615622	502.881676	506.118463
0.119000	-58.995256	-14.653854	404.919365	409.456796	-56.611111	-6.153234	502.880157	506.093996
0.120000	-59.380466	-14.884330	404.242531	408.851571	-56.764002	-6.615622	502.544098	505.783045
0.121000	-59.687523	-15.576687	403.218918	407.910198	-57.071020	-6.461493	501.519661	504.797804
0.122000	-59.841307	-15.960711	402.545616	407.282088	-57.070711	-7.078165	502.198586	505.480549
0.123000	-59.764668	-16.498436	402.041573	406.794100	-57.224220	-6.153078	503.556068	506.834476
0.124000	-59.765169	-17.036628	401.362076	406.144849	-57.377422	-5.998793	504.575211	507.862479
0.125000	-60.151388	-18.035925	401.704201	406.583016	-57.837639	-6.615622	503.561729	506.915549
0.126000	-59.920464	-18.727045	399.317123	404.221881	-57.224527	-6.152923	504.918068	508.187722
0.127000	-60.074749	-19.188616	398.984322	403.937702	-57.224220	-6.152923	503.903107	507.179269
0.128000	-60.306681	-19.880509	398.307877	403.337693	-56.764311	-5.536250	505.263603	508.472365
0.129000	-59.768192	-20.495627	399.499687	404.465459	-57.224527	-6.615622	503.896278	507.178344
0.130000	-59.384493	-20.803033	399.165283	404.094305	-57.378036	-6.153234	505.263611	508.548344
0.131000	-59.845840	-21.571235	399.335091	404.370322	-57.530622	-5.690690	505.263229	508.559817
0.132000	-59.231722	-22.493604	399.170982	404.168074	-57.684746	-6.307052	504.923004	508.246543
0.133000	-59.077436	-22.724390	399.004311	403.993789	-57.531237	-5.998793	505.941025	509.236830
0.134000	-58.770378	-23.416438	397.984390	402.981218	-57.530313	-5.844664	507.302650	510.587775
0.135000	-58.464325	-24.030938	397.816193	402.806761	-57.071327	-6.152923	506.619560	509.861132
0.136000	-58.232899	-24.338343	396.622368	401.612659	-57.070711	-5.844508	506.615410	509.853310
0.137000	-58.003990	-24.799450	397.647980	402.620654	-57.224220	-6.153078	505.260948	508.528365
0.138000	-58.157269	-24.953462	395.772766	400.800481	-57.377422	-5.535938	507.639862	510.902187
0.139000	-58.004492	-25.645199	396.805511	401.841774	-57.991457	-5.382120	508.999588	512.320756
0.140000	-58.234409	-26.029378	395.273262	400.386971	-57.684746	-5.844664	507.987267	511.285393
0.141000	-58.465334	-26.183235	396.127144	401.273562	-57.224836	-5.844508	507.979301	511.225792
0.142000	-58.234409	-26.336939	395.274803	400.408605	-57.837639	-4.919578	508.661652	511.962958
0.143000	-58.466341	-26.644497	394.427193	399.626141	-57.071327	-5.227680	507.304169	510.531081
0.144000	-58.466341	-27.028831	394.772270	399.992520	-57.685055	-6.307052	508.658630	511.957954
0.145000	-58.389196	-27.259462	394.264030	399.495309	-57.223604	-5.227368	511.040924	514.261307
0.146000	-58.314072	-27.643332	395.283066	400.516400	-57.990839	-4.765136	509.678925	512.989522
0.147000	-58.467852	-27.951200	393.757973	399.055260	-57.837330	-5.536094	507.298126	510.614526
